,today,code,text,afb,is_arrived,from_where_a,a_time,is_departured,where_d,d_time,Unnamed: 0
208,2021-08-11,B38M,Boeing 737 MAX 8,BIKF,1.0,ZRH,2021-08-11 15:55:00,0.0,0,0,
209,2021-08-11,B752,Boeing 757-208,BIKF,1.0,BER,2021-08-11 15:50:00,0.0,0,0,
210,2021-08-11,B752,Boeing 757-208,BIKF,1.0,CDG,2021-08-11 15:40:00,0.0,0,0,
211,2021-08-11,B752,Boeing 757-256,BIKF,1.0,CDG,2021-08-11 15:40:00,0.0,0,0,
212,2021-08-11,B763,Boeing 767-319(ER),BIKF,1.0,FRA,2021-08-11 15:40:00,0.0,0,0,
213,2021-08-11,B38M,Boeing 737 MAX 8,BIKF,1.0,CPH,2021-08-11 15:40:00,0.0,0,0,
214,2021-08-11,B763,Boeing 767-319(ER),BIKF,1.0,AMS,2021-08-11 15:25:00,0.0,0,0,
215,2021-08-11,B752,Boeing 757-23N,BIKF,1.0,CPH,2021-08-11 15:25:00,0.0,0,0,
216,2021-08-11,B752,Boeing 757-256,BIKF,1.0,LHR,2021-08-11 15:20:00,0.0,0,0,
217,2021-08-11,B38M,Boeing 737 MAX 8,BIKF,1.0,BRU,2021-08-11 15:15:00,0.0,0,0,
218,2021-08-11,B752,Boeing 757-256,BIKF,1.0,ARN,2021-08-11 15:10:00,0.0,0,0,
219,2021-08-11,A320,Airbus A320-214,BIKF,1.0,ZRH,2021-08-11 15:05:00,0.0,0,0,
220,2021-08-11,B38M,Boeing 737 MAX 8,BIKF,1.0,OSL,2021-08-11 14:45:00,0.0,0,0,
221,2021-08-11,32N,,BIKF,1.0,OSL,2021-08-11 10:45:00,0.0,0,0,
222,2021-08-11,A20N,Airbus A320-251N,BIKF,1.0,CPH,2021-08-11 09:45:00,0.0,0,0,
223,2021-08-11,B38M,Boeing 737 MAX 8,BIKF,1.0,BOS,2021-08-12 20:32:38,0.0,0,0,
224,2021-08-11,A319,Airbus A319-132,BIKF,1.0,DUS,2021-08-12 22:19:44,0.0,0,0,
225,2021-08-11,32Q,,BIKF,1.0,WAW,2021-08-12 23:19:28,0.0,0,0,
226,2021-08-11,A21N,Airbus A321-251N,BIKF,1.0,BER,2021-08-12 23:32:16,0.0,0,0,
227,2021-08-11,A21N,Airbus A321-251N,BIKF,0.0,0,0,1.0,BER,2021-08-12 15:03:00,
228,2021-08-11,32Q,,BIKF,0.0,0,0,1.0,STN,2021-08-12 06:22:00,
229,2021-08-11,32Q,,BIKF,0.0,0,0,1.0,CPH,2021-08-12 06:27:00,
230,2021-08-11,32Q,,BIKF,0.0,0,0,1.0,CDG,2021-08-12 05:53:00,
231,2021-08-11,A320,Airbus A320-232,BIKF,0.0,0,0,1.0,KTW,2021-08-11 20:30:00,
232,2021-08-11,B738,Boeing 737-8K2,BIKF,0.0,0,0,1.0,AMS,2021-08-11 19:50:00,
233,2021-08-11,A21N,Airbus A321-271NX,BIKF,0.0,0,0,1.0,FCO,2021-08-11 19:20:00,
234,2021-08-11,B763,Boeing 767-319(ER),BIKF,0.0,0,0,1.0,BOS,2021-08-11 17:15:00,
235,2021-08-11,A320,Airbus A320-214,BIKF,0.0,0,0,1.0,BCN,2021-08-11 17:10:00,
236,2021-08-11,B752,Boeing 757-256,BIKF,0.0,0,0,1.0,SEA,2021-08-11 17:05:00,
237,2021-08-11,B38M,Boeing 737 MAX 8,BIKF,0.0,0,0,1.0,YYZ,2021-08-11 17:05:00,
238,2021-08-11,B38M,Boeing 737 MAX 8,BIKF,0.0,0,0,1.0,EWR,2021-08-11 17:00:00,
239,2021-08-11,B763,Boeing 767-319(ER),BIKF,0.0,0,0,1.0,JFK,2021-08-11 17:00:00,
240,2021-08-11,B752,Boeing 757-256,BIKF,0.0,0,0,1.0,DEN,2021-08-11 16:55:00,
241,2021-08-11,B752,Boeing 757-208,BIKF,0.0,0,0,1.0,IAD,2021-08-11 16:50:00,
242,2021-08-11,B38M,Boeing 737 MAX 8,BIKF,0.0,0,0,1.0,ORD,2021-08-11 16:45:00,
243,2021-08-11,B38M,Boeing 737 MAX 8,BIKF,0.0,0,0,1.0,MSP,2021-08-11 16:45:00,
244,2021-08-11,B734,Boeing 737-4B3(SF),BIKF,0.0,0,0,1.0,DUB,2021-08-11 16:30:00,
